"Source:","/Users/maartendehaan/Desktop/Weiss/KiCAD/Summing Circuit V5/Summing Circuit V5.kicad_sch"
"Date:","Monday, September 05, 2022 at 10:28:05 AM"
"Tool:","Eeschema (6.0.1-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","46"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","1µF","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"","","C2","0.1µF","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"","","C3","0.1µF","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"","","C4","0.1µF","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"","","C5","0.1µF","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"","","C6","0.1µF","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"","","C7","0.1µF","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"","","C8","0.1µF","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"","","C9","30nF","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"","","C10","0.1µF","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"","","C11","0.1µF","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"","","C12","0.1µF","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"","","C13","0.1µF","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"","","C14","0.1µF","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"","","H1","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_4.3mm_M4","~"
"","","H2","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_4.3mm_M4","~"
"","","H3","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_4.3mm_M4","~"
"","","H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_4.3mm_M4","~"
"","","J1","KK 254 01x02 Male","Connector:Conn_01x02_Male","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","~"
"","","J2","Power","Connector:Conn_01x03_Male","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","~"
"","","J3","Interboard","Connector:Conn_01x03_Male","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","~"
"","","J4","Potentiometer",":Conn_01x03_Male_1","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","~"
"","","J5","Conn to Box","Connector:Conn_01x01_Male","TestPoint:TestPoint_Pad_2.0x2.0mm","~"
"","","J6","KK 254 01x02 Male","Connector:Conn_01x02_Male","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","~"
"","","J7","KK 254 01x02 Male","Connector:Conn_01x02_Male","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","~"
"","","J8","KK 254 01x02 Male","Connector:Conn_01x02_Male","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","~"
"","","J9","KK 254 01x02 Male","Connector:Conn_01x02_Male","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","~"
"","","R1","4.7kΩ","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R2","10kΩ","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R3","3.9kΩ","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R4","100Ω","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R5","100Ω","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R6","47kΩ","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R7","50kΩ","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R8","50kΩ","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R9","20kΩ","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R10","3.9kΩ","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R11","100Ω","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","R12","50kΩ","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"","","U1","AD586","Reference_Voltage:AD586","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.analog.com/media/en/technical-documentation/data-sheets/AD586.pdf"
"","","U2","AMP03GSZ",":AMP03GSZ_1","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.analog.com/media/en/technical-documentation/data-sheets/amp03.pdf"
"","","U3","AMP03GSZ",":AMP03GSZ_2","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.analog.com/media/en/technical-documentation/data-sheets/amp03.pdf"
"","","U4","AMP03GSZ","Amplifier_Operational:AMP03GSZ","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.analog.com/media/en/technical-documentation/data-sheets/amp03.pdf"
"","","U5","OP177FSZ","Amplifier_Operational:OP177FSZ","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.analog.com/media/en/technical-documentation/data-sheets/op177.pdf"
"","","U6","AMP03GSZ","Amplifier_Operational:AMP03GSZ","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.analog.com/media/en/technical-documentation/data-sheets/amp03.pdf"
"","","W1","0Ω","Device:R","Resistor_SMD:R_1206_3216Metric","~"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","C1","1µF","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"2","12","C2, C3, C4, C5, C6, C7, C8, C10, C11, C12, C13, C14","0.1µF","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"3","1","C9","30nF","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"4","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_4.3mm_M4","~"
"5","5","J1, J6, J7, J8, J9","KK 254 01x02 Male","Connector:Conn_01x02_Male","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","~"
"6","1","J2","Power","Connector:Conn_01x03_Male","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","~"
"7","1","J3","Interboard","Connector:Conn_01x03_Male","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","~"
"8","1","J4","Potentiometer",":Conn_01x03_Male_1","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","~"
"9","1","J5","Conn to Box","Connector:Conn_01x01_Male","TestPoint:TestPoint_Pad_2.0x2.0mm","~"
"10","1","R1","4.7kΩ","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"11","1","R2","10kΩ","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"12","2","R3, R10","3.9kΩ","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"13","3","R4, R5, R11","100Ω","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"14","1","R6","47kΩ","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"15","3","R7, R8, R12","50kΩ","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"16","1","R9","20kΩ","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"17","1","U1","AD586","Reference_Voltage:AD586","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.analog.com/media/en/technical-documentation/data-sheets/AD586.pdf"
"18","1","U2","AMP03GSZ",":AMP03GSZ_1","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.analog.com/media/en/technical-documentation/data-sheets/amp03.pdf"
"19","1","U3","AMP03GSZ",":AMP03GSZ_2","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.analog.com/media/en/technical-documentation/data-sheets/amp03.pdf"
"20","2","U4, U6","AMP03GSZ","Amplifier_Operational:AMP03GSZ","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.analog.com/media/en/technical-documentation/data-sheets/amp03.pdf"
"21","1","U5","OP177FSZ","Amplifier_Operational:OP177FSZ","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.analog.com/media/en/technical-documentation/data-sheets/op177.pdf"
"22","1","W1","0Ω","Device:R","Resistor_SMD:R_1206_3216Metric","~"
