"Source:","/Users/maartendehaan/Desktop/QC Research/KiCAD/Supertime External Trigger/Supertime External Trigger.kicad_sch"
"Date:","Friday, April 12, 2024 at 06:10:43 AM"
"Tool:","Eeschema (6.0.1-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","20"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","20nF","C","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor",""
"C2, ","1","100pF","C","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor",""
"CP1, CP3, CP5, ","3","100nF","C","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor",""
"CP2, CP4, CP6, ","3","1µF","C","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor",""
"J1, ","1","Power","Conn_01x02_Male","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J2, ","1","60 Hz Trigger","Conn_01x02_Male","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J3, ","1","60 Hz Output","Conn_01x02_Male","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J4, ","1","1 MHz Clock","Conn_01x02_Male","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J5, ","1","1 MHz Output","Conn_01x02_Male","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J6, ","1","Supertime Resync","Conn_01x02_Male","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J7, ","1","FPGA Input","Conn_01x02_Male","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J8, ","1","Supertime Sorting","Conn_01x02_Male","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"R1, ","1","5kΩ","R","Resistor_SMD:R_1206_3216Metric","Resistor",""
"U1, ","1","CD74HCT123M96","CD74HCT123E","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","",""
"U2, ","1","CD74HCT32M96","CD74HCT32E","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","",""
"U3, ","1","CD74HCT08M96","CD74HCT08E","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","",""
